Year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,South Asia,Middle East & North Africa,North America,Sub-Saharan Africa,World
1990,2322193,387676,646505,4732653,559311,47239,3886212,12581804
1991,2223423,371131,618393,4616893,532509,46049,3934691,12343103
1992,2101113,355718,590179,4501408,505748,44655,3984036,12082871
1993,1965667,339979,562116,4387427,479499,43147,4035692,11813541
1994,1829249,323201,534465,4272497,453786,41597,4112011,11566819
1995,1698666,305546,507178,4155381,429070,40108,4133132,11269093
1996,1580842,287570,480424,4035431,406017,38756,4143452,10972503
1997,1475294,269782,454347,3911706,384629,37595,4166690,10700054
1998,1379892,252476,433874,3784813,365051,36668,4173055,10425839
1999,1293329,236050,407991,3656159,347344,35959,4147841,10124682
2000,1213510,220863,382112,3526237,331593,35460,4113488,9823271
2001,1139099,207102,360330,3396375,317750,35153,4061285,9517102
2002,1069855,194906,339856,3268962,305597,34981,3995852,9210016
2003,1005638,184195,320786,3144333,295070,34902,3921140,8906071
2004,974854,174881,303147,3027607,285896,34854,3840095,8641340
2005,893144,166698,286996,2902044,277899,34735,3755539,8317061
2006,844871,159517,272466,2781905,271054,34485,3670839,8035142
2007,801350,153085,259516,2661234,265210,34060,3582730,7757190
2008,784149,147181,248083,2538969,260312,33464,3493193,7505356
2009,724658,141762,237970,2417168,256519,32726,3402683,7213491
2010,689748,136605,265618,2296358,253802,31928,3318215,6992278
2011,656990,131557,220795,2178035,252246,31132,3227964,6698723
2012,625027,126377,213806,2063624,250873,30411,3141432,6451554
2013,594554,121036,207488,1954833,248031,29839,3062950,6218735
2014,565816,115424,201827,1853129,244199,29426,2991849,6001674
2015,538439,109579,196712,1757907,239210,29169,2921490,5792509
2016,511970,103770,195420,1670696,233632,28999,2855573,5600063
2017,487117,98216,187964,1592198,227106,28861,2795439,5416904
