NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
loc01-tmc060512,CN,Shigatse,CN,Lhatse (Quxar); (tea  exported  to Tibet; horses  to Yunnan & Sichuan),Trade,Terrain,maj,ARI001,B000,C000,Chengdu & P'u-erh,d000dd,cmu,t000t,620,1940,QC3,CRI English.com 2006,87.650002,29.1,adlgaz-1-1626512-22,88.883331,29.25,ADL1638919,1654,247,P001,tmcCNm0620_001a
loc01-tmc060512,CN,Shigatse,CN,Lhatse (Quxar); (tea  exported  to Tibet; horses  to Yunnan & Sichuan),Trade,Terrain,maj,FTE001,B000,C000,Quxar,d000dd,cmu,t000t,620,1940,QC3,CRI English.com 2006,87.650002,29.1,adlgaz-1-1626512-22,88.883331,29.25,ADL1638919,1654,247,P002,tmcCNm0620_002a
Shigatse,CN,loc02-tmc060512,CN,?Qamqenxoi,Trade,Terrain,maj,FTE001,B000,C000,Quxar,d000dd,cmu,t000t,620,1940,QC3,CRI English.com 2006,88.883331,29.25,ADL1638919,89.900002,29.266666,adlgaz-1-1624840-3f,247,1784,P000,tmcCNm0620_003a
loc02-tmc060512,CN,loc03-tmc060512,CN,?Qamqenxoi;?Namka,Trade,Terrain,maj,FTE001,B000,C000,Quxar,d000dd,cmu,t000t,620,1940,QC3,CRI English.com 2006,89.900002,29.266666,adlgaz-1-1624840-3f,90.98333,29.65,adlgaz-1-1621983-0f,1784,1687,P000,tmcCNm0620_004a
loc03-tmc060512,CN,Lhasa,CN,?Namka,Trade,Terrain,maj,FTE001,B000,C000,Quxar,d000dd,cmu,t000t,620,1940,QC3,CRI English.com 2006,90.98333,29.65,adlgaz-1-1621983-0f,91.099998,29.65,adlgaz-1-1616353-46,1687,90,P000,tmcCNm0620_005a
loc03-tmc060512,CN,Yangbajain,CN,?Namka,Trade,Terrain,maj,FTE001,B000,C000,Quxar,d000dd,cmu,t000t,620,1940,QC3,CRI English.com 2006,90.98333,29.65,adlgaz-1-1621983-0f,90.416664,30.216667,adlgaz-1-1641556-75,1687,1686,P000,tmcCNm0620_006a
Yangbajain,CN,Nagqu,CN,nkn,Trade,Terrain,maj,FTE001,B000,C000,Quxar,d000dd,cmu,t000t,620,1940,QC3,CRI English.com 2006,90.416664,30.216667,adlgaz-1-1641556-75,92,31.5,ADL1621913,1686,597,P000,tmcCNm0620_007a
Nagqu,CN,loc04-tmc060512,CN,?Zaindainxoi,Trade,Terrain,maj,FTE001,B000,C000,Quxar,d000dd,cmu,t000t,620,1940,QC3,CRI English.com 2006,92,31.5,ADL1621913,93.6667,31.85,www.fallingrain.com,597,3638,P000,tmcCNm0620_008a
loc04-tmc060512,CN,loc05-tmc060512,CN,?Zaindainxoi;?Dartang,Trade,Terrain,maj,FTE001,B000,C000,Quxar,d000dd,cmu,t000t,620,1940,QC3,CRI English.com 2006,93.6667,31.85,www.fallingrain.com,94,31.9333,www.fallingrain.com,3638,3639,P000,tmcCNm0620_009a
loc05-tmc060512,CN,loc06-tmc060512,CN,?Dartang;?Gyamotang,Trade,Terrain,maj,FTE001,B000,C000,Quxar,d000dd,cmu,t000t,620,1940,QC3,CRI English.com 2006,94,31.9333,www.fallingrain.com,95.4333,31.5333,www.fallingrain.com,3639,3640,P000,tmcCNm0620_010a
