"","Weight","SourceName","TargetName","Type.x","Year.x","diceSim","Type.y","Year.y","SourceID","TargetID"
"1",1,"Chamdo","loc08-tmc060512","Terrain",620,0,"Terrain",620,1,21
"2",1,"Chamdo","loc12-tmc060512","Terrain",620,0,"Terrain",620,1,25
"3",1,"Chengdu","loc21-tmc060512","Terrain",620,0,"Terrain",620,2,34
"4",1,"Dali","Xiaguan","Terrain",620,0,"Terrain",620,3,60
"5",1,"Danba","frk01-tmc060512","Terrain",620,0,"Terrain",620,4,8
"6",1,"Daocheng","Litang","Terrain",620,0,"Terrain",620,5,14
"7",1,"Daofu","frk01-tmc060512","Terrain",620,0,"Terrain",620,6,8
"8",1,"Deqin","loc28-tmc060512","Terrain",620,0,"Terrain",620,7,41
"9",1,"frk01-tmc060512","frk02-tmc060512","Terrain",620,0,"Terrain",620,8,9
"10",1,"frk02-tmc060512","Kangding","Terrain",620,0,"Terrain",620,9,11
"11",1,"Garze","loc11-tmc060512","Terrain",620,0,"Terrain",620,10,24
"12",1,"Kangding","Luding","Terrain",620,0,"Terrain",620,11,55
"13",1,"Lijiang","loc30-tmc060512","Terrain",620,0,"Terrain",620,12,43
"14",1,"Lincang","loc39-tmc060512","Terrain",620,0,"Terrain",620,13,52
"15",1,"Litang","loc18-tmc060512","Terrain",620,0,"Terrain",620,14,31
"16",1,"loc02-tmc060512","loc03-tmc060512","Terrain",620,0,"Terrain",620,15,16
"17",1,"loc03-tmc060512","Lhasa","Terrain",620,0,"Terrain",620,16,65
"18",1,"loc03-tmc060512","Yangbajain","Terrain",620,0,"Terrain",620,16,63
"19",1,"loc04-tmc060512","loc05-tmc060512","Terrain",620,0,"Terrain",620,17,18
"20",1,"loc05-tmc060512","loc06-tmc060512","Terrain",620,0,"Terrain",620,18,19
"21",1,"loc06-tmc060512","loc07-tmc060512","Terrain",620,0,"Terrain",620,19,20
"22",1,"loc07-tmc060512","Chamdo","Terrain",620,0,"Terrain",620,20,1
"23",1,"loc08-tmc060512","loc09-tmc060512","Terrain",620,0,"Terrain",620,21,22
"24",1,"loc09-tmc060512","loc10-tmc060512","Terrain",620,0,"Terrain",620,22,23
"25",1,"loc10-tmc060512","loc41-tmc060512","Terrain",620,0,"Terrain",620,23,54
"26",1,"loc11-tmc060512","Daofu","Terrain",620,0,"Terrain",620,24,6
"27",1,"loc12-tmc060512","loc13-tmc060512","Terrain",620,0,"Terrain",620,25,26
"28",1,"loc13-tmc060512","loc14-tmc060512","Terrain",620,0,"Terrain",620,26,27
"29",1,"loc14-tmc060512","loc15-tmc060512","Terrain",620,0,"Terrain",620,27,28
"30",1,"loc15-tmc060512","loc16-tmc060512","Terrain",620,0,"Terrain",620,28,29
"31",1,"loc15-tmc060512","loc27-tmc060512","Terrain",620,0,"Terrain",620,28,40
"32",1,"loc16-tmc060512","loc17-tmc060512","Terrain",620,0,"Terrain",620,29,30
"33",1,"loc17-tmc060512","Litang","Terrain",620,0,"Terrain",620,30,14
"34",1,"loc18-tmc060512","frk02-tmc060512","Terrain",620,0,"Terrain",620,31,9
"35",1,"loc19-tmc060512","Ya'an","Terrain",620,0,"Terrain",620,32,61
"36",1,"loc20-tmc060512","Chengdu","Terrain",620,0,"Terrain",620,33,2
"37",1,"loc21-tmc060512","loc22-tmc060512","Terrain",620,0,"Terrain",620,34,35
"38",1,"loc22-tmc060512","loc23-tmc060512","Terrain",620,0,"Terrain",620,35,36
"39",1,"loc23-tmc060512","loc24-tmc060512","Terrain",620,0,"Terrain",620,36,37
"40",1,"loc24-tmc060512","loc25-tmc060512","Terrain",620,0,"Terrain",620,37,38
"41",1,"loc25-tmc060512","loc26-tmc060512","Terrain",620,0,"Terrain",620,38,39
"42",1,"loc26-tmc060512","Danba","Terrain",620,0,"Terrain",620,39,4
"43",1,"loc27-tmc060512","Deqin","Terrain",620,0,"Terrain",620,40,7
"44",1,"loc28-tmc060512","loc29-tmc060512","Terrain",620,0,"Terrain",620,41,42
"45",1,"loc29-tmc060512","Zhongdian","Terrain",620,0,"Terrain",620,42,64
"46",1,"loc30-tmc060512","loc31-tmc060512","Terrain",620,0,"Terrain",620,43,44
"47",1,"loc31-tmc060512","Dali","Terrain",620,0,"Terrain",620,44,3
"48",1,"loc32-tmc060512","loc33-tmc060512","Terrain",620,0,"Terrain",620,45,46
"49",1,"loc33-tmc060512","loc34-tmc060512","Terrain",620,0,"Terrain",620,46,47
"50",1,"loc34-tmc060512","loc35-tmc060512","Terrain",620,0,"Terrain",620,47,48
"51",1,"loc35-tmc060512","loc36-tmc060512","Terrain",620,0,"Terrain",620,48,49
"52",1,"loc36-tmc060512","Tengchong","Terrain",620,0,"Terrain",620,49,66
"53",1,"loc37-tmc060512","loc38-tmc060512","Terrain",620,0,"Terrain",620,50,51
"54",1,"loc38-tmc060512","Lincang","Terrain",620,0,"Terrain",620,51,13
"55",1,"loc39-tmc060512","loc40-tmc060512","Terrain",620,0,"Terrain",620,52,53
"56",1,"loc40-tmc060512","P'u-erh ","Terrain",620,0,"Terrain",620,53,57
"57",1,"loc41-tmc060512","Garze","Terrain",620,0,"Terrain",620,54,10
"58",1,"Luding","loc19-tmc060512","Terrain",620,0,"Terrain",620,55,32
"59",1,"Nagqu","loc04-tmc060512","Terrain",620,0,"Terrain",620,56,17
"60",1,"P'u-erh ","Simao","Terrain",620,0,"Terrain",620,57,59
"61",1,"Shigatse","loc02-tmc060512","Terrain",620,0,"Terrain",620,58,15
"62",1,"Simao","Jinghong","Terrain",620,0,"Terrain",620,59,67
"63",1,"Xiaguan","loc32-tmc060512","Terrain",620,0,"Terrain",620,60,45
"64",1,"Xiaguan","loc37-tmc060512","Terrain",620,0,"Terrain",620,60,50
"65",1,"Ya'an","loc20-tmc060512","Terrain",620,0,"Terrain",620,61,33
"66",1,"Yading","Daocheng","Terrain",620,0,"Terrain",620,62,5
"67",1,"Yangbajain","Nagqu","Terrain",620,0,"Terrain",620,63,56
"68",1,"Zhongdian","Lijiang","Terrain",620,0,"Terrain",620,64,12
"69",1,"Zhongdian","Yading","Terrain",620,0,"Terrain",620,64,62
"70",2,"loc01-tmc060512","Shigatse","Terrain",620,0,"Terrain",620,0,58
