"","Weight","SourceName","TargetName","Type.x","Year.x","diceSim","Type.y","Year.y","SourceID","TargetID"
"1",1,"'En Haseva","Edom","Terrain",-600,0,"Terrestial",-600,28,2446
"2",1,"'En Haseva","Ezion-geber","Terrain",-600,0,"Terrestial",-600,28,2447
"3",1,"'En Haseva","Horvat 'Uza","Terrain",-600,0,"Terrestial",-600,28,486
"4",1,"'En Haseva","Kadesh Barnea","Terrain",-600,0,"Terrestial",-600,28,2448
"5",1," loc12-tmc060201","Maozhou","Road",1368,0,"Road",1368,29,1900
"6",1," loc13-tmc060201"," loc14-tmc060201","Road",1368,0,"Road",1368,30,31
"7",1," loc14-tmc060201","Songpan","Road",1368,0,"Road",1368,31,2196
"8",1,"</font size>""loc01-tmc001214""","Cambay","Road",1550,0,"Road",1550,32,184
"9",1,"<font size=""-1"">""xrd01-tmc001214""","Ajmer","Road",1550,0,"Road",1550,33,46
"10",1,"Abdanganch","Rabat Serob","Terrain",900,0,"Terrestial",900,34,2067
"11",1,"Abiverd","loc23-tmc070101","Terrain",900,0,"Terrestial",900,35,1311
"12",1,"Abiverd","Meane","Terrain",900,0,"Terrestial",900,35,1910
"13",1,"Adana","Antakya","Terrain",1300,0,"Terrestial",1300,36,79
"14",1,"Adana","frk08-tmc050521","Terrain",1200,0,"Terrestial",1200,36,386
"15",1,"Adana","loc13-tmc050503","Terrain",1300,0,"Terrestial",1300,36,1091
"16",1,"Aden","Cochin","Sea Lane",1300,0,"Sea lane",1300,37,2449
"17",1,"Aden","sealoc06-tmc050418","Sea Lane",1300,0,"Sea lane",1300,37,2115
"18",1,"Adiyaman","frk13-tmc050521","Terrain",1200,0,"Terrestial",1200,38,393
"19",1,"Adulis","Berenice","Sea Lane",-50,0,"Sea lane",-50,39,149
"20",1,"Adulis","Muza","Sea Lane",-50,0,"Sea lane",-50,39,1938
"21",1,"Aelana","Berenice","Sea Lane",-50,0,"Sea lane",-50,40,149
"22",1,"Aelana","Petra","Terrain",-50,0.142857142857143,"Terrestial",-50,40,2006
"23",1,"Aelana","Petra","Terrain",150,0.142857142857143,"Terrestial",-50,40,2006
"24",1,"Agra","Ahmadabad","Road",1550,0,"Road",1550,41,42
"25",1,"Agra","Allahabad","Road",1550,0,"Road",1550,41,59
"26",1,"Agra","Bayana","Road",1550,0.166666666666667,"Road",1550,41,140
"27",1,"Agra","Delhi","Road",1550,0,"Road",1550,41,270
"28",1,"Agra","Dholpur","Road",1550,0,"Road",1550,41,276
"29",1,"Agra","Mathura","Road",1550,0,"Road",1550,41,1907
"30",1,"Agra","Sikri","Road",1550,0.2,"Road",1550,41,2450
"31",1,"Ahmadabad","Cambay","Road",1550,0.2,"Road",1550,42,184
"32",1,"Ahmadabad","Mehsana","Road",1550,0,"Road",1550,42,2451
"33",1,"Ahmadabad","Surat","Road",1550,0.181818181818182,"Road",1550,42,2208
"34",1,"Ahmadabad","Tatta","Road",1550,0,"Road",1550,42,2452
"35",1,"Ahmadabad","Udaipur","Road",1550,0,"Road",1550,42,2453
"36",1,"Ahmadnagar","Bijapur","Road",1550,0,"Road",1550,43,2454
"37",1,"Ahmadnagar","Burhanpur","Road",1550,0,"Road",1550,43,176
"38",1,"Ahmadnagar","Haidarabad","Road",1550,0,"Road",1550,43,2455
"39",1,"Aini","loc03-tmc040918","Terrain",400,0,"Terrestial",400,44,803
"40",1,"Aini","Pendjikent","Terrain",400,0,"Terrestial",400,44,2001
"41",1,"Airtam","Al-Ahsa","Terrain",900,0,"Terrestial",900,45,52
"42",1,"Ajmer","Burhanpur","Road",1550,0,"Road",1550,46,176
"43",1,"Ajmer","Jaipur","Road",1550,0,"Road",1550,46,2456
"44",1,"Ajmer","Mandu","Road",1550,0,"Road",1550,46,1896
"45",1,"Akir","Amul","Terrain",900,0,"Terrestial",900,47,67
"46",1,"Akkerman","Kilia","Terrain",1300,0,"Terrestial",1300,48,626
"47",1,"Akkerman","loc11-tmc050503","Terrain",1300,0,"Terrestial",1300,48,1040
"48",1,"Aksaray","Konya","Terrain",1200,0,"Terrestial",1200,49,642
"49",1,"Aksaray","Nevsehir","Terrain",1200,0,"Terrestial",1200,49,1958
"50",1,"Aksehir","Konya","Terrain",1300,0,"Terrestial",1300,50,642
"51",1,"Aksu","Bachn","Terrain",100,0,"Terrestial",100,51,2457
"52",1,"Aksu","Kashgar","Terrain",700,0.0512820512820513,"Terrestial",700,51,9
"53",1,"Aksu","Kucha","Terrain",1,0.0952380952380952,"Terrestial",700,51,646
"54",1,"Aksu","Kucha","Terrain",1,0.0952380952380952,"Terrestial",1300,51,646
"55",1,"Aksu","Kucha","Terrain",1,0.0952380952380952,"Terrestial",1,51,646
"56",1,"Aksu","Kucha","Terrain",700,0.0952380952380952,"Terrestial",700,51,646
"57",1,"Aksu","Kucha","Terrain",700,0.0952380952380952,"Terrestial",1300,51,646
"58",1,"Aksu","Kucha","Terrain",700,0.0952380952380952,"Terrestial",1,51,646
"59",1,"Aksu","Kucha","Terrain",1300,0.0952380952380952,"Terrestial",700,51,646
"60",1,"Aksu","Kucha","Terrain",1300,0.0952380952380952,"Terrestial",1300,51,646
"61",1,"Aksu","Kucha","Terrain",1300,0.0952380952380952,"Terrestial",1,51,646
"62",1,"Aksu","loc09-tmc010512","Terrain",700,0,"Terrestial",700,51,2458
"63",1,"Al-Ahsa","Osman Well","Terrain",900,0,"Terrestial",900,52,1981
"64",1,"Alai Pass","Osh","Road",1901,0.142857142857143,"Road",1901,53,1980
"65",1,"Aleppo","Antakya","Terrain",1300,0,"Terrestial",1300,54,79
"66",1,"Aleppo","Birecik","Terrain",1300,0,"Terrestial",1300,54,157
"67",1,"Aleppo","Damascus","Terrain",1300,0.0833333333333333,"Terrestial",1300,54,247
"68",1,"Aleppo","loc15-tmc050503","Terrain",1300,0.2,"Terrestial",1300,54,1137
"69",1,"Aleppo","Tripoli","Terrain",1300,0.142857142857143,"Terrestial",1300,54,2270
"70",1,"Alexandria Areion","Antiochia Margiana","Terrain",-50,0,"Terrestial",-50,56,83
"71",1,"Alexandria Areion","Phra","Terrain",-50,0,"Terrestial",-50,56,2461
"72",1,"Alexandria Margiana","Bactra","Terrain",-350,0,"Terrestial",-350,57,110
"73",1,"Alexandria Margiana","Hecatompylos","Terrain",-350,0,"Terrestial",-350,57,2462
"74",1,"Alexandria","Coptus","River Lane",-50,0.105263157894737,"River lane",-50,55,2459
"75",1,"Alexandria","Memphis","Terrain",150,0.111111111111111,"River lane",-350,55,2460
"76",1,"Alexandria","Memphis","River Lane",-350,0.111111111111111,"River lane",-350,55,2460
"77",1,"Alexandria","sealoc01-tmc050418","Sea Lane",1300,0,"Sea lane",1300,55,2105
"78",1,"Alexandropolis","frk01-tmc010201","Terrain",-50,0.285714285714286,"Terrestial",-50,58,330
"79",1,"Alexandropolis","Kabul","Terrain",-50,0,"Terrestial",-50,58,585
"80",1,"Alexandropolis","Phra","Terrain",-50,0,"Terrestial",-50,58,2461
"81",1,"Alexandropolis","xrd01-tmc010201","Terrain",-50,0.25,"Terrestial",-50,58,2355
"82",1,"Allahabad","Patna","Road",1550,0,"Road",1550,59,1996
"83",1,"Alma-Ata","loc32-tmc050518","Terrain",1200,0,"Terrestial",1200,60,1480
"84",1,"Alma-Ata","Yining","Terrain",1,0,"Terrestial",1,60,2390
"85",1,"Alwar","Bayana","Road",1550,0.333333333333333,"Road",1550,61,140
"86",1,"Alwar","Jaipur","Road",1550,0.4,"Road",1550,61,2456
"87",1,"Amasra","sealoc17-tmc050503","Sea Lane",1300,0,"Sea lane",1300,62,2137
"88",1,"Amasya","loc21-tmc050521","Terrain",1200,0,"Terrestial",1200,63,1268
"89",1,"Amasya","Tokat","Terrain",1300,0,"Terrestial",1300,63,2249
"90",1,"Ambala","Shahabad","Road",1550,0,"Road",1550,64,2463
"91",1,"Ambala","Sirhind","Road",1550,0,"Road",1550,64,2464
"92",1,"Amdo","Tanggula Shankou (2)","Terrain",1900,0,"Terrestial",1900,65,2221
"93",1,"Amman","Petra","Terrain",1300,0.181818181818182,"Terrestial",1300,66,2006
"94",1,"Amul","Viza","Terrain",900,0,"Terrestial",900,67,2305
"95",1,"An Najaf","Medina","Terrain",1300,0,"Terrestial",1300,68,2465
"96",1,"Ancona","Dubrovnik","Sea Lane",1300,0,"Sea lane",1300,69,291
"97",1,"Andigon","Faizabad","Terrain",400,0,"Terrestial",400,70,313
"98",1,"Anding","Gongchang","Road",1368,0,"Road",1368,71,2466
"99",1,"Anding","Lanzhou","Road",1368,0,"Road",1368,71,683
"100",1,"Angkor Borei","Oc Eo","Canal",1200,0,"Canal",1200,73,1976
"101",1,"Angkor","Beng Mealea","Road",1200,0,"Road",1200,72,2467
"102",1,"Angkor","loc03-tmc020719","Road",1200,0,"Road",1200,72,2468
"103",1,"Angkor","loc04-tmc020719","Road",1200,0,"Road",1200,72,2469
"104",1,"Angkor","loc05-tmc020719","Road",1200,0,"Road",1200,72,2470
"105",1,"Ankara","frk04-tmc050521","Terrain",1200,0.166666666666667,"Terrestial",1200,74,368
"106",1,"Ankara","Konya","Terrain",1300,0.117647058823529,"Terrestial",1300,74,642
"107",1,"Ankara","loc42-tmc050518","Terrain",1200,0,"Terrestial",1200,74,1636
"108",1,"Ankara","Sivas","Terrain",1300,0.117647058823529,"Terrestial",1300,74,2192
"109",1,"Ankara","Tokat","Terrain",1300,0.142857142857143,"Terrestial",1300,74,2249
"110",1,"Anking","Nanchang","Road",1644,0,"Road",1644,75,1944
"111",1,"Annan","Pu'an (2)","Road",1368,0,"Road",1368,76,2030
"112",1,"Anshun","Zhenning","Road",1368,0,"Road",1368,77,2429
"113",1,"Ansi","Kiakukuan","Road",1644,0,"Road",1644,78,624
"114",1,"Ansi","Pehtuntz","Road",1923,0,"Road",1923,78,2471
"115",1,"Ansi","Pulungki","Road",1923,0,"Road",1923,78,2472
"116",1,"Ansi","Tunhwang","Road",1923,0,"Road",1923,78,2473
"117",1,"Antakya","Hama","Terrain",1300,0,"Terrestial",1300,79,463
"118",1,"Antalya","Burdur","Terrain",1200,0,"Terrestial",1200,80,175
"119",1,"Antalya","sealoc21-tmc050503","Sea Lane",1300,0,"Sea lane",1300,80,2143
"120",1,"Anting","Lanchow","Road",1923,0,"Road",1923,81,678
"121",1,"Antioch","frk05-tmc010201","Terrain",1,0.2,"Terrestial",1,82,372
"122",1,"Antioch","frk05-tmc010201","Terrain",1,0.2,"Terrestial",-50,82,372
"123",1,"Antioch","frk05-tmc010201","Terrain",-50,0.2,"Terrestial",1,82,372
"124",1,"Antioch","frk05-tmc010201","Terrain",-50,0.2,"Terrestial",-50,82,372
"125",1,"Antioch","Laodicea","Terrain",-350,0,"Terrestial",-350,82,684
"126",1,"Antioch","Palmyra","Terrain",130,0,"Terrestial",130,82,1988
"127",1,"Antioch","Seleucia Pieria","Terrain",-350,0,"Terrestial",-350,82,2474
"128",1,"Antioch","Tarsus","Terrain",-350,0,"Terrestial",-350,82,2228
"129",1,"Antioch","Zeugma","Terrain",-350,0.166666666666667,"Terrestial",-350,82,2418
"130",1,"Antiochia Margiana","Bactra","Terrain",-50,0,"Terrestial",-50,83,110
"131",1,"Antiochia Margiana","frk02-tmc010202","Terrain",-50,0,"Terrestial",-50,83,345
"132",1,"Antiochia Margiana","Meshed","Terrain",-50,0,"Terrestial",-50,83,1919
"133",1,"Anxi","Dunhuang","Terrain",700,0.222222222222222,"Terrestial",700,84,5
"134",1,"Anxi","Guazhou","Terrain",700,0,"Terrestial",700,84,2475
"135",1,"Anxi","Hami","Terrain",700,0.0869565217391304,"Terrestial",700,84,465
"136",1,"Anxi","Lop Nor","Terrain",700,0.222222222222222,"Terrestial",700,84,2476
"137",1,"Anyang","Tangyin","Road",1368,0,"Road",1368,85,2222
"138",1,"Anzob Pass","Varzob","Terrain",400,0,"Terrestial",400,87,2303
"139",1,"Anzob","Anzob Pass","Terrain",400,0,"Terrestial",400,86,87
"140",1,"Apollonis","Pergamum","Terrain",-350,0,"Terrestial",-350,88,2477
"141",1,"Apollonis","Sardis","Terrain",-350,0,"Terrestial",-350,88,2101
"142",1,"Arabia Eudaemon","Cane","Sea Lane",-50,0,"Sea lane",-50,89,186
"143",1,"Arabia Eudaemon","Muziris","Sea Lane",50,0.25,"Sea lane",50,89,1939
"144",1,"Arabia Eudaemon","Ocelis","Sea Lane",-50,0,"Sea lane",-50,89,2478
"145",1,"Arabia Eudaemon","Simylla","Sea Lane",-50,0.25,"Sea lane",-50,89,2479
"146",1,"Arad","Horvat 'Uza","Terrain",-600,0,"Terrestial",-600,90,486
"147",1,"Arad","Horvat Tov","Terrain",-600,0,"Terrestial",-600,90,488
