"","ID","nName","nodeDegree","nodeBetweenness"
"Pu-erh",0,"Pu-erh",2,0
"Dali",1,"Dali",6,5.55235001584799
"Lijiang",2,"Lijiang",5,2.17803258266029
"Beirut",3,"Beirut",4,7.17244315788206
"Deqin",4,"Deqin",4,5.16605531549532
"Dunhuang",5,"Dunhuang",13,8.65770203963316
"frk03-tmc070101",6,"frk03-tmc070101",3,0.000890195512010367
"frk04-tmc070101",7,"frk04-tmc070101",4,3.91393890701043
"Gongbujiangda",8,"Gongbujiangda",3,33.4739340723711
"Kashgar",9,"Kashgar",34,72.6147340217612
"Kokand",10,"Kokand",10,9.8161954039688
"Lhasa",11,"Lhasa",17,100
"loc01-tmc060512",12,"loc01-tmc060512",1,0
"loc16-tmc050518",13,"loc16-tmc050518",2,0.272286984990551
"loc211-tmc060409",14,"loc211-tmc060409",3,1.66065345867286
"loc243-tmc060409",15,"loc243-tmc060409",2,0.696634408990423
"loc479-tmc060409",16,"loc479-tmc060409",2,0.486297508856818
"Luding",17,"Luding",4,0.988342701700749
"Mangkang",18,"Mangkang",3,18.9469965054184
"Pu'er",19,"Pu'er",2,0
"Sakya",20,"Sakya",2,0
"Simao",21,"Simao",8,2.47842968508644
"Susa",22,"Susa",3,0.000225683369242065
"Tashitow",23,"Tashitow",6,8.54872554093795
"Ya'an",24,"Ya'an",4,0.961060089952375
"Yarkand",25,"Yarkand",10,16.3428001058634
"Yungchang",26,"Yungchang",3,0
"Zhongdian",27,"Zhongdian",7,2.69277873400657
"'En Haseva",28,"'En Haseva",4,0
" loc12-tmc060201",29," loc12-tmc060201",2,0.794856826470552
" loc13-tmc060201",30," loc13-tmc060201",2,0.901379376752807
" loc14-tmc060201",31," loc14-tmc060201",2,0.954640651893934
"</font size>""loc01-tmc001214""",32,"</font size>""loc01-tmc001214""",1,0
"<font size=""-1"">""xrd01-tmc001214""",33,"<font size=""-1"">""xrd01-tmc001214""",1,0
"Abdanganch",34,"Abdanganch",2,1.90130715807465
"Abiverd",35,"Abiverd",3,1.67676474364375
"Adana",36,"Adana",7,2.75141879611463
"Aden",37,"Aden",4,1.61104073133448
"Adiyaman",38,"Adiyaman",2,3.86565520395758
"Adulis",39,"Adulis",2,0
"Aelana",40,"Aelana",2,0
